tweet,Mind reading,Labelling,Fortune telling,Overgeneralising,Emotional Reasoning,Personalising,Shoulds and Musts,words count,polarity,subjectivity,Depressed
constantly wishing i had more friends but cringing at the thought of having a night out,0.479,0.692,0.579,0.591,0.512,0.518,0.586,16,0.25,0.41666666666666663,1
just pretend to fake the smile on my face telling them that am fine but am not feeling guilty for nothing,0.513,0.73,0.658,0.679,0.621,0.618,0.432,21,-0.07083333333333333,0.65,1
being over the moon proud of my children s accomplishments but always feeling like i am failing as a mother,0.602,0.591,0.56,0.637,0.485,0.54,0.737,20,0.8,1.0,1
today peeling the skin off my fingers clenching teeth struggling to sleep even tho i was up all night,0.763,0.909,0.801,0.662,0.637,0.674,0.822,19,0.0,0.0,1
can feel like a prison there is help,0.806,0.743,0.848,0.899,0.82,0.666,0.722,8,0.0,0.0,1
nothing to you but feels like a black hole to me,0.537,0.517,0.624,0.484,0.409,0.482,0.724,11,-0.16666666666666666,0.43333333333333335,1
nothing to you but feels like a black hole to me,0.537,0.517,0.624,0.484,0.409,0.482,0.724,11,-0.16666666666666666,0.43333333333333335,1
sleeping nonstop just lying there no energy to do anything even the fun things,0.587,0.609,0.549,0.562,0.483,0.624,0.795,14,0.3,0.2,1
sleeping nonstop just lying there no energy to do anything even the fun things,0.587,0.609,0.549,0.562,0.483,0.624,0.795,14,0.3,0.2,1
desperately searching for things to make me feel alive and accepting shitty substitutes for real friendships,0.551,0.737,0.587,0.733,0.574,0.774,0.621,16,-0.09999999999999999,0.5666666666666667,1
desperately searching for things to make me feel alive and accepting shitty substitutes for real friendships,0.551,0.737,0.587,0.733,0.574,0.774,0.621,16,-0.09999999999999999,0.5666666666666667,1
let us fuckin goo,0.729,0.712,0.714,0.767,0.771,0.801,0.786,4,0.0,0.0,1
thinking that everyone hates me even my friends family partner,0.299,0.604,0.546,0.404,0.454,0.368,0.815,10,0.0,0.0,1
a perpetual sense that my mere presence is a burden and everything i do is a mistake will to act comes from fatalism,0.505,0.473,0.528,0.426,0.464,0.46,0.607,23,-0.5,0.5,1
internally drowning while everyone else seems to be staying afloat,0.808,0.798,0.737,0.762,0.806,0.788,0.78,10,0.0,0.05,1
not being able to reach out to people for help but tweeting about dying instead,0.614,0.798,0.637,0.644,0.674,0.627,0.761,15,0.5,0.625,1
making an effort to be the funniest one in the group so no one knows am actually hurting inside,0.443,0.637,0.464,0.609,0.525,0.612,0.689,19,0.0,0.1,1
being there for others emotionally while wishing someone was there for me,0.592,0.65,0.698,0.787,0.649,0.772,0.556,12,0.0,0.65,1
telling you am fine because i do not want to burden you with my problems,0.432,0.714,0.701,0.757,0.608,0.708,0.275,15,0.4166666666666667,0.5,1
crying in my room then going to class laughing with my friends,0.717,0.933,0.628,0.738,0.678,0.699,0.862,12,-0.2,0.6,1
blurred days heavy blanket weighing down my body and mind,0.741,0.584,0.606,0.665,0.605,0.708,0.775,10,-0.1777777777777778,0.3944444444444445,1
me sitting by myself but wishing someone was there with me,0.533,0.667,0.732,0.592,0.581,0.685,0.675,11,0.0,0.0,1
having both too many and not enough options for what to wear because i do not know who am supposed to be today,0.675,0.701,0.648,0.624,0.578,0.589,0.72,23,0.25,0.5,1
in my bed for hours and hours awake but feeling so heavy i can not get up,0.874,0.817,0.756,0.703,0.574,0.649,0.688,17,-0.2,0.5,1
a blank stare after someone tells me am trippin or to get over it or its all in your head,0.511,0.591,0.536,0.549,0.52,0.514,0.684,20,0.0,0.0,1
overeating to help fill full for once,0.825,0.815,0.726,0.757,0.805,0.665,0.719,7,0.35,0.55,1
feeling so sad that i become physically sick,0.433,0.526,0.542,0.482,0.246,0.388,0.716,8,-0.6071428571428572,0.9285714285714286,1
zoning out randomly wishing things were better,0.535,0.58,0.575,0.655,0.626,0.716,0.586,7,0.0,0.5,1
forgetting to eat throughout the day because your mind is on so many other things,0.507,0.694,0.656,0.661,0.598,0.513,0.636,15,0.1875,0.4375,1
sleeping as much as possible to escape reality,0.682,0.84,0.622,0.781,0.35,0.828,0.729,8,0.0,1.0,1
not a wise decision to tweet about ur depression but idk whateva,0.581,0.696,0.684,0.686,0.579,0.683,0.692,12,-0.35,0.9,1
doing my makeup every morning after i convince myself to leave my bed,0.89,0.964,0.677,0.778,0.876,0.751,0.616,13,0.0,0.0,1
reseting my router every 10 minutes tryna get some internet,0.951,0.994,0.831,0.769,0.909,0.815,0.733,10,0.0,0.0,1
losing friends because they do not know what is wrong with you and neither do you,0.391,0.67,0.465,0.524,0.494,0.444,0.727,16,-0.5,0.9,1
my desk,0.927,0.883,0.856,0.864,0.929,0.764,0.806,2,0.0,0.0,1
not eating because am trying to find more ways to punish myself for how i feel,0.35,0.708,0.594,0.591,0.381,0.506,0.584,16,0.5,0.5,1
binge eating in attempts to fill the voids,0.672,0.848,0.809,0.808,0.759,0.747,0.778,8,0.0,0.0,1
not being able to sleep staring the walls for hope,0.615,0.834,0.537,0.739,0.555,0.658,0.698,10,0.5,0.625,1
spending the day binge eating then spending the night feeling fat and worthless,0.557,0.694,0.698,0.628,0.635,0.514,0.77,13,-0.8,0.9,1
it is stuff like that just helps so much i always feel like am just overreacting but it is,0.476,0.545,0.55,0.57,0.581,0.599,0.45,19,0.2,0.2,1
a constant feeling of wanting to hurt myself because i deserve it,0.454,0.576,0.477,0.503,0.341,0.464,0.604,12,0.0,0.3333333333333333,1
losing weight until every bone on my body is visible,0.801,0.828,0.799,0.649,0.846,0.754,0.727,10,0.0,0.0,1
tw blood self harm wet footprints and blood trails across the bathroom,0.791,0.796,0.791,0.784,0.674,0.71,0.819,12,-0.1,0.4,1
next to nothing because i keep up with therapy meds mediation and do not wallow in it like a tumblr lifestyle,0.598,0.849,0.72,0.767,0.797,0.79,0.599,21,0.0,0.0,1
holding my shit together sometimes long enough for my son to fall asleep before falling apart day after day,0.745,0.889,0.76,0.775,0.643,0.616,0.751,19,-0.08333333333333333,0.5666666666666668,1
an unhealthy delicious breakfast eating makes me feel much better,0.765,0.749,0.662,0.839,0.719,0.756,0.689,10,0.3666666666666667,0.7333333333333334,1
tw suicide a floor full of pills and a policeman s fist banging my front door,0.885,0.945,0.732,0.791,0.792,0.744,0.94,16,0.35,0.55,1
anxiety attacks from 11am to 3pm painfully crying while trying to pull myself together,0.67,0.681,0.695,0.606,0.531,0.688,0.652,14,-0.2,0.6,1
me acting like a stuck up bitch to cover up my fragile self what i am on the outside none of it is real,0.42,0.484,0.565,0.545,0.471,0.463,0.594,24,0.05,0.21250000000000002,1
being tired and amped up at the same time pushing people away and wanting them nearby for distraction,0.462,0.578,0.645,0.62,0.464,0.636,0.635,18,-0.2,0.4125,1
empty cupboards covered mirrors broken sharpeners and bruised fists,0.734,0.669,0.752,0.676,0.688,0.69,0.829,9,-0.25,0.45,1
check out it is eye opening and a crucial conversation for us to be having,0.747,0.807,0.841,0.621,0.686,0.57,0.71,15,0.0,1.0,1
solving all of my friends problems even though am swamped with all of mine,0.709,0.812,0.728,0.596,0.627,0.58,0.693,14,0.0,0.0,1
laying to the side staring into space feeling nothing,0.747,0.593,0.746,0.559,0.701,0.83,0.882,9,0.0,0.0,1
im being ungrateful there are people starving fighting for their lives out there i cant even cope with daily tasks,0.55,0.71,0.683,0.621,0.482,0.53,0.734,20,0.0,0.0,1
tbh this is part of how my eating disorder developed,0.851,0.914,0.83,0.842,0.797,0.787,0.714,10,0.1,0.3,1
not being able to complete any tasks because my mind drifts off to things am trying to take my mind off of,0.442,0.7,0.677,0.657,0.591,0.607,0.643,22,0.3,0.5125,1
my normal face cause have perfected my act so people do not waste time worrying about me,0.709,0.754,0.668,0.697,0.715,0.555,0.572,17,0.125,0.32499999999999996,1
hating myself so much that im a danger to myself,0.284,0.413,0.37,0.325,0.304,0.308,0.579,10,0.2,0.2,1
adding a little to a grey dreary day and a blue mood,0.692,0.644,0.731,0.802,0.676,0.715,0.707,12,-0.07916666666666666,0.2333333333333333,1
just being so tired all of the time and wanting to live but also wanting to never leave my room,0.54,0.809,0.566,0.671,0.535,0.575,0.61,20,-0.13181818181818183,0.6,1
thinking everyone hates me has a grudge against me when i have not done anything to them,0.385,0.594,0.577,0.523,0.46,0.475,0.634,17,0.0,0.0,1
being afraid to ask for help because i do not think anyone wants to help me because they all hate me,0.274,0.576,0.51,0.39,0.356,0.405,0.61,21,-0.39999999999999997,0.6333333333333333,1
smiles cookies tears in the bathroom running laughter screaming into a pillow kindness to others but not myself,0.7,0.801,0.643,0.872,0.742,0.738,0.721,18,0.0,0.0,1
having anxiety all the time not being able to eat as much not wanting to go out,0.471,0.634,0.552,0.642,0.442,0.526,0.533,17,0.35,0.4125,1
am being sketchy and avoiding my friends when it is really that i just do not feel worthy of leaving my room,0.299,0.635,0.557,0.559,0.411,0.529,0.562,22,0.26666666666666666,0.6,1
waves that come and go one day am motivated the next day i sleep until 3pm,0.863,0.906,0.854,0.786,0.759,0.773,0.807,16,0.0,0.0,1
pretending to be such a happy person while am dying on the inside and feeling like i should not be here,0.56,0.709,0.525,0.653,0.525,0.638,0.659,21,0.4,0.75,1
being followed by a dark cloud constantly reminding me i am worthless struggling between the will amp fear of dying,0.59,0.679,0.458,0.521,0.447,0.606,0.711,20,-0.3166666666666667,0.5444444444444444,1
whining i whine about pretty girls online because my brain is screaming that am disgusting whining s all i have,0.428,0.559,0.497,0.553,0.372,0.439,0.767,20,-0.375,1.0,1
is such an important hashtag there are so many aspects of depression that no one sees realizes is a symptom,0.634,0.697,0.626,0.647,0.537,0.571,0.773,20,0.3,0.6666666666666666,1
is a serious hashtag,0.675,0.642,0.67,0.656,0.586,0.693,0.746,4,-0.3333333333333333,0.6666666666666666,1
a huge heavy gorilla clinging to me always hanging there making everything more difficult blocking my view of happy,0.745,0.788,0.75,0.736,0.695,0.684,0.702,19,0.2,0.78,1
am looking through gray tinted goggles all life s colors the physical and metaphorical disappear into gray,0.816,0.793,0.84,0.734,0.819,0.877,0.745,17,0.0,0.17142857142857143,1
the feeling i would have if i came face to face with all of my biggest fears at once sheer paralyzing terror,0.469,0.636,0.553,0.517,0.327,0.547,0.617,22,0.0,0.75,1
me putting a smile on my face everyday crying every night,0.645,0.816,0.632,0.575,0.687,0.632,0.738,11,-0.03333333333333335,0.4333333333333333,1
a cheerful face at work and for my family while i cry in the car and bathroom,0.72,0.901,0.851,0.819,0.714,0.66,0.82,17,0.4,1.0,1
a successful me,0.849,0.697,0.704,0.778,0.865,0.442,0.565,3,0.75,0.95,1
quiet anger and isolation,0.525,0.565,0.679,0.535,0.638,0.739,0.664,4,-0.35,0.26666666666666666,1
constant doubt worry bursts of anger alienation and feeling so alone in the world that i have no one to talk to,0.35,0.531,0.495,0.479,0.348,0.54,0.534,22,-0.35,0.26666666666666666,1
crying every night without your family knowing,0.572,0.722,0.646,0.593,0.531,0.538,0.74,7,-0.2,0.6,1
always longing for the past and dreading the future,0.519,0.655,0.398,0.5,0.381,0.538,0.581,9,-0.125,0.1875,1
ignoring everyone because social interaction is too exhausting,0.401,0.514,0.555,0.555,0.487,0.468,0.686,8,-0.18333333333333335,0.2833333333333333,1
a tar pit i am tight rope walking my life over,0.787,0.842,0.687,0.684,0.723,0.733,0.724,11,-0.17857142857142858,0.2857142857142857,1
repeated trips to the hospital bc i force myself to execute at the same level i did before fibro depression set in,0.832,0.934,0.785,0.73,0.797,0.756,0.62,22,0.0,0.125,1
everything am retweeting honestly what is to add it is all accurate af,0.801,0.858,0.545,0.72,0.881,0.442,0.369,13,0.5,0.7666666666666667,1
always listening to everyones problems and being there for them but when i need someone its like no one cares,0.521,0.773,0.694,0.576,0.517,0.592,0.586,20,0.0,0.0,1
anger because i hate myself and feel like nobody cares when am suffering,0.327,0.489,0.558,0.396,0.286,0.407,0.695,13,-0.75,0.55,1
a smile,0.805,0.746,0.796,0.901,0.952,0.642,0.752,2,0.3,0.1,1
when you contemplate killing yourself because there is no more soda left,0.637,0.748,0.66,0.65,0.698,0.731,0.814,12,-0.125,0.25,1
being so mentally exhausted that it turns into physical exhaustion and i literally can not get out of bed,0.64,0.697,0.601,0.614,0.507,0.545,0.673,19,-0.2,0.4214285714285714,1
an utter disinterest in all the things i usually love,0.436,0.496,0.483,0.455,0.512,0.561,0.692,10,0.25,0.8,1
a roller coaster that plummets bottommost at hyperkinetic pace yet ascends at a terrifyingly stagnant velocity,0.807,0.751,0.678,0.72,0.725,0.703,0.884,16,-1.0,1.0,1
a weary old prize fighter who lost her daily 12 round battle vs a hopelessness worthlessness emptiness,0.582,0.682,0.551,0.535,0.615,0.549,0.91,17,-0.03333333333333333,0.20000000000000004,1
a giant ball of numbness living in a world of grey instead of color,0.638,0.521,0.732,0.552,0.641,0.54,0.886,14,-0.025,0.55,1
i have to leave for work in less than an hour and am still sitting in this bed my brain is too loud today,0.778,0.918,0.802,0.713,0.659,0.545,0.815,24,-0.033333333333333326,0.43333333333333335,1
wanting to excel in life but being too lazy to do so,0.471,0.599,0.668,0.658,0.569,0.625,0.647,12,-0.25,1.0,1
feeling like i should not be depressed bc i have lots of good things in life that i should be happy about,0.724,0.727,0.719,0.879,0.735,0.658,0.527,22,0.75,0.8,1
spending hours on work but not being able to get it done because your dissociation continues to get worse,0.504,0.631,0.618,0.527,0.41,0.397,0.65,19,0.04999999999999999,0.6125,1
taking the long way back if am driving alone at night so i can cry in the car and be done before anyone sees me,0.584,0.774,0.628,0.547,0.632,0.611,0.728,25,-0.025,0.2,1
incredible anger self loathing and unfounded guilt every morning i wake up no makeup dragging myself in to work,0.567,0.678,0.741,0.545,0.457,0.503,0.794,19,0.10000000000000003,0.55,1
the tag is so important good job twitterverse,0.84,0.803,0.843,0.815,0.72,0.693,0.671,8,0.55,0.8,1
holding back tears when i get made fun of by the people that should supporting me my family,0.424,0.744,0.458,0.69,0.486,0.539,0.652,18,0.18333333333333335,0.15,1
dying for spring to be there so i can stop hibernating but unable to motivate myself out of bed on a sunny day,0.793,0.878,0.696,0.785,0.59,0.696,0.797,23,-0.5,0.5,1
the hashtag is a great way to reduce and educate the public on the many ways depression manifests itself,0.703,0.784,0.687,0.759,0.65,0.619,0.771,19,0.43333333333333335,0.4388888888888889,1
me buying the whole liquor store,0.959,1,0.84,0.874,0.97,0.803,0.817,6,0.2,0.4,1
i want to do everything and nothing all at the same time,0.62,0.604,0.51,0.516,0.776,0.643,0.411,12,0.0,0.125,1
a life others envy while my heart shatters into a million pieces and i do not know why,0.66,0.739,0.592,0.705,0.636,0.689,0.614,18,0.0,0.0,1
apparently nothing bc am african anything that is not physical pain is not real,0.745,0.746,0.857,0.722,0.768,0.815,0.661,14,-0.0125,0.19821428571428573,1
a child i need to take care of daily it is a part of me so i show myself love and kindness even on the hardest days,0.679,0.768,0.576,0.768,0.62,0.573,0.504,27,0.25,0.3,1
starring at a spot on the wall while being talked at trying not to burst into tears over a bow not being straight,0.486,0.678,0.608,0.492,0.593,0.665,0.613,23,0.2,0.4,1
hi am writing an article about the hashtag do your knowledge did you start it,0.902,0.962,0.85,0.91,0.887,0.917,0.891,15,0.0,0.0,1
trying to be excited but just feeling nothing not sad not happy mildly content but also bored and so very tired,0.413,0.583,0.678,0.671,0.538,0.649,0.699,21,-0.07694444444444444,0.86,1
feeling worthless everyday,0.548,0.353,0.643,0.408,0.528,0.608,0.772,3,-0.5,0.75,1
john cena you can not see it,0.902,0.754,0.785,0.766,0.864,0.802,0.816,7,0.0,0.0,1
struggling but still fighting i looove that this hashtag is bringing awareness to mental health,0.675,0.784,0.745,0.623,0.575,0.667,0.685,15,-0.1,0.2,1
no options no choices and no escape,0.734,0.493,0.541,0.41,0.595,0.693,0.722,7,0.0,0.0,1
not telling people whats going on in my life which ultimately isolates myself mentally from everyone,0.4,0.678,0.571,0.604,0.536,0.596,0.639,16,-0.05,0.6,1
feeling guilty that am not the mother my daughter deserves desperately wanting to be a model for her but i fail,0.435,0.664,0.546,0.692,0.496,0.493,0.638,21,-0.5333333333333333,0.7666666666666666,1
you have no idea what it is like waking up every day crying because you just want to enjoy life,0.569,0.739,0.667,0.755,0.584,0.596,0.743,20,0.1,0.55,1
one song on repeat for hours because that is the only way events life can seem to be constant,0.784,0.865,0.493,0.71,0.787,0.556,0.57,19,0.0,0.6666666666666666,1
twitter users share what to raise mental health awareness,0.92,1,0.92,0.926,0.886,0.85,0.883,9,-0.1,0.2,1
lack of eating and sleep basically destroying myself from the inside out but managing go keep a smile on my face,0.518,0.684,0.611,0.668,0.607,0.686,0.595,21,0.04999999999999999,0.05,1
my heart goes out to all the people hashtagging you are all stronger than you know,0.747,0.845,0.734,0.773,0.805,0.737,0.656,16,0.0,0.0,1
being too tired to go anywhere or do anything but unable to ever sleep the sight or thought of food sickens me,0.508,0.733,0.633,0.636,0.53,0.509,0.582,22,-0.45,0.6,1
am a lazy shit who sleeps too much and never gets anything done if only people understood what i feel like,0.475,0.569,0.58,0.485,0.462,0.585,0.679,21,-0.0625,0.75,1
i know my kids are not likely to die everytime they go somewhere without me but i still over worry obsess about it,0.484,0.675,0.633,0.565,0.426,0.538,0.478,23,0.0,1.0,1
my bottle of lexapro,0.906,0.878,0.921,0.997,0.998,0.895,0.745,4,0.0,0.0,1
crying crying crying oh did i forget to mention crying over everything b c every little thing cuts so much deeper,0.549,0.68,0.697,0.549,0.47,0.525,0.63,21,-0.13125,0.5166666666666667,1
me fucking up then thinking i need to punish myself amp make myself feel bad to learn a lesson,0.507,0.655,0.555,0.561,0.409,0.488,0.607,19,-0.6499999999999999,0.7333333333333334,1
thinking of hurting myself will make me feel better,0.632,0.694,0.582,0.677,0.556,0.68,0.512,9,0.5,0.5,1
am happy but am completely dead inside,0.623,0.568,0.58,0.582,0.643,0.646,0.773,7,0.30000000000000004,0.7,1
going without eating so i can look how i feel,0.721,0.809,0.646,0.625,0.794,0.684,0.547,10,0.0,0.0,1
feeling everything at once yet nothing at the same time numbness emptiness unexplainable,0.698,0.492,0.709,0.522,0.692,0.683,0.788,13,0.0,0.125,1
12 pills a day to counteract and balance the chemicals in my brain that make me sick and a good meal if am lucky,0.792,0.8,0.715,0.855,0.736,0.772,0.743,24,0.10634920634920632,0.7634920634920636,1
me starving myself because am angry,0.463,0.571,0.578,0.544,0.451,0.432,0.76,6,-0.5,1.0,1
wearing makeup to hide my insecurities,0.502,0.659,0.651,0.693,0.637,0.764,0.493,6,0.0,0.0,1
looking in the mirror silent with tears running down my face while trying to find something to love about me,0.561,0.743,0.666,0.714,0.606,0.641,0.726,20,0.11481481481481481,0.32962962962962966,1
lack of sleep and each night i have even less to eat,0.541,0.635,0.66,0.583,0.491,0.591,0.651,12,-0.16666666666666666,0.06666666666666667,1
suffering severely but not saying anything bc i do not want to be a bother or look helpless to my friends and family,0.508,0.731,0.669,0.697,0.586,0.6,0.484,23,0.0,0.0,1
can you all shut the fuck up,0.531,0.676,0.611,0.53,0.593,0.657,0.693,7,-0.4,0.6,1
nothing we hurt in silence,0.673,0.722,0.61,0.515,0.849,0.798,0.563,5,0.0,0.0,1
acting like am okay so people do not think less of me because i can not handle what they thought i could,0.398,0.638,0.613,0.637,0.538,0.576,0.461,22,0.11111111111111112,0.18888888888888888,1
talking about killing myself in a joking manner but apart of me is serious,0.595,0.702,0.511,0.686,0.631,0.738,0.696,14,-0.3333333333333333,0.6666666666666666,1
getting up in the middle of class leaving and going home before i have a fucking break down infront of everyone,0.797,0.916,0.788,0.626,0.82,0.602,0.712,21,-0.2518518518518518,0.362962962962963,1
fighting every day ta keep tha faith but ur efforts ending up feeling worthless,0.531,0.692,0.556,0.605,0.602,0.599,0.583,14,-0.8,0.9,1
paris hilton,1,0.959,0.921,1,0.937,0.884,1,2,0.0,0.0,1
the blood pouring as the razor stains and the cut burns reminding me pain is real,0.631,0.872,0.857,0.757,0.594,0.729,0.815,16,0.2,0.30000000000000004,1
still long way 2 go 2 end stigma about depression anxiety,0.774,0.81,0.717,0.761,0.792,0.807,0.636,11,-0.05,0.4,1
mode gaga lady gaga g u y live in paris via,0.878,0.899,0.851,0.938,0.967,0.882,0.859,11,0.13636363636363635,0.5,1
this viral hashtag reveals the face of depression that we do not know,0.674,0.703,0.63,0.615,0.493,0.549,0.805,13,0.0,0.0,1
a hole carved into my chest and have nothing to fill that inner emptiness,0.631,0.567,0.498,0.499,0.486,0.608,0.699,14,0.0,0.16666666666666666,1
constantly feeling like am wasting my life and will never get any better,0.463,0.479,0.377,0.374,0.392,0.416,0.704,13,0.25,0.41666666666666663,1
wow the hashtag is literally giving me life i relate sooooooooo much,0.813,0.817,0.683,0.832,0.824,0.489,0.658,12,0.15000000000000002,0.6,1
empty,0.55,0.27,0.632,0.31,0.663,0.713,0.818,1,-0.1,0.5,1
shows the world what it s really like to live with depression,0.636,0.778,0.79,0.75,0.655,0.605,0.73,12,0.16818181818181818,0.35,1
nothing because am afraid of burdening others with problems in my head i do not even understand,0.426,0.625,0.56,0.5,0.424,0.571,0.453,17,-0.6,0.9,1
eating the bare amount to avoid a headache but crying so hard it causes one anyway isolation,0.492,0.7,0.686,0.662,0.613,0.663,0.602,17,-0.14722222222222223,0.4138888888888889,1
internally dying,0.724,0.662,0.67,0.603,0.689,0.783,0.872,2,0.0,0.0,1
a frog on a unicycle,1,0.88,0.951,0.994,1,0.945,0.882,5,0.0,0.0,1
i lost passion in anything that used to bring me joy,0.602,0.624,0.515,0.633,0.673,0.685,0.654,11,0.8,0.2,1
mode maniac grease you are the one that i want hq lyrics via,0.805,0.918,0.786,0.729,0.808,0.661,0.674,13,0.0,0.0,1
being content then overthinking anything and everything then pushing people away because i do not feel good enough,0.441,0.542,0.533,0.561,0.459,0.562,0.639,18,0.35,0.55,1
a smile even though i do not want to,0.453,0.644,0.62,0.713,0.71,0.683,0.459,9,0.3,0.1,1
being afraid to create i created this to help raise awareness if you like it please share,0.625,0.761,0.718,0.726,0.629,0.75,0.644,17,-0.6,0.9,1
mode maniac flashdance maniac hq eng sub via,0.887,0.808,0.833,0.804,0.914,0.799,0.838,8,0.0,0.0,1
emptiness solitude isolation fear and lonliness,0.58,0.53,0.536,0.485,0.414,0.639,0.692,6,0.0,0.0,1
not knowing if how im feeling is genuine or just to make it seem like i know how to feel deeply,0.528,0.622,0.731,0.75,0.642,0.82,0.585,21,0.2,0.45,1
being hopeful about life only to be followed by feelings of immense hopelessness,0.54,0.651,0.424,0.579,0.345,0.643,0.61,13,0.0,1.0,1
god nailed to a tree,0.926,0.959,0.824,0.949,0.933,0.85,0.838,5,0.0,0.0,1
spending as much time as possible sleeping because i have no energy or motivation to do anything else,0.595,0.755,0.56,0.679,0.271,0.653,0.704,18,0.1,0.6,1
chain smoking unwashed hair forgetting to eat empty bottles a cocktail of pills ashes cold hands and coffee stains,0.729,0.834,0.721,0.743,0.762,0.767,0.725,19,-0.35,0.75,1
pushing away the people who love me because i do not want to burden them with my problems,0.349,0.653,0.606,0.59,0.439,0.513,0.499,18,0.5,0.6,1
complete and utter hopelessness about life and my future,0.586,0.501,0.332,0.425,0.269,0.475,0.751,9,0.03333333333333333,0.5083333333333333,1
this tag is nice because other people get it,0.67,0.791,0.685,0.868,0.703,0.65,0.594,9,0.2375,0.6875,1
what is a mydepressionlookslike i mean it is really weird but you do you,0.576,0.508,0.7,0.642,0.617,0.714,0.605,14,-0.40625,0.84375,1
feeling the need to apologise for that thanks for sharing your experiences it means a lot,0.564,0.616,0.683,0.812,0.592,0.705,0.528,16,0.2,0.2,1
having no appetite for days on end constantly hearing you need to eat and no one understanding that i can not,0.511,0.769,0.67,0.651,0.592,0.496,0.665,21,0.0,0.3333333333333333,1
there is literally nothing more accurate than this nothing is ever bothering me,0.659,0.608,0.403,0.441,0.75,0.591,0.486,13,0.45000000000000007,0.5666666666666667,1
a fight between my brain and i for not to have negative thoughts,0.467,0.695,0.701,0.582,0.503,0.701,0.396,13,-0.3,0.4,1
unfinished notebooks missing the bus to school and blaming myself hoarding essentials out of fear that will need it,0.553,0.76,0.679,0.559,0.489,0.48,0.603,19,-0.2,0.05,1
demystifying a silent disease,0.582,0.593,0.699,0.607,0.796,0.757,0.707,4,0.0,0.1,1
what it is like inside a depressed person s head,0.608,0.657,0.749,0.661,0.468,0.616,0.765,10,0.0,0.0,1
putting makeup on during my good days in order to feel better waking up at noon and feeling guilty all over again,0.656,0.741,0.619,0.731,0.593,0.654,0.678,22,0.2333333333333333,0.7000000000000001,1
fights the stigma that depression looks one way via,0.605,0.702,0.706,0.732,0.535,0.605,0.698,9,0.0,0.0,1
smiling all the time and giving advice that you never use upon yourself,0.673,0.833,0.568,0.774,0.838,0.609,0.604,13,0.0,0.0,1
the inability to get out of bed and eat or pick up the phone and call in sick because it is not a valid reason,0.479,0.684,0.582,0.594,0.383,0.578,0.621,25,-0.7142857142857143,0.8571428571428571,1
who started this hashtag,0.919,0.923,0.908,0.89,0.914,0.832,0.85,4,0.0,0.0,1
an old friend that returns to visit out of the blue but once it is there it kind of feels like it never left,0.771,0.926,0.716,0.835,0.851,0.82,0.835,24,0.175,0.30000000000000004,1
memes,0.812,0.812,0.82,0.731,0.857,0.82,0.833,1,0.0,0.0,1
it is me looking just like you twitter users share what,0.855,0.984,0.825,0.877,0.947,0.699,0.767,11,0.0,0.0,1
is so important and needed,0.733,0.643,0.706,0.651,0.451,0.513,0.402,5,0.4,1.0,1
the feeling of restlessness when all you want is sleep and you can not breathe through the storm in your head,0.6,0.722,0.608,0.659,0.427,0.575,0.587,21,0.0,0.0,1
demystifies a silent disease,0.579,0.582,0.719,0.612,0.813,0.755,0.731,4,0.0,0.1,1
standing in the mirror and repeating i hate myself every other week,0.437,0.684,0.622,0.46,0.493,0.518,0.771,12,-0.4625,0.6375,1
me holding my wrist bc when it comes there is a sensation there that asks me why am still here,0.736,0.721,0.797,0.773,0.751,0.852,0.735,20,0.0,0.0,1
me caring for others not being capable of asking others 2 do the same bc i do not believe im worth it,0.446,0.673,0.681,0.674,0.61,0.637,0.542,22,0.16666666666666666,0.20833333333333334,1
low quality in life,0.54,0.462,0.553,0.51,0.503,0.642,0.708,4,0.0,0.3,1
low quality in life,0.54,0.462,0.553,0.51,0.503,0.642,0.708,4,0.0,0.3,1
this hashtag giving me memories of something that i have almost forgotten by now,0.744,0.768,0.751,0.714,0.778,0.795,0.673,14,0.0,0.0,1
this hashtag giving me memories of something that i have almost forgotten by now,0.744,0.768,0.751,0.714,0.778,0.795,0.673,14,0.0,0.0,1
self sabotage me thinking deeply and far too much into situations that do not exist and believing that is reality,0.522,0.481,0.483,0.439,0.481,0.63,0.578,20,0.10000000000000002,0.5333333333333333,1
listening to throwback music and laying in bed feeling worthless,0.576,0.578,0.666,0.51,0.409,0.632,0.741,10,-0.8,0.9,1
feeling broken because everyone else around me has their life together figured out but am no where near that,0.494,0.705,0.507,0.552,0.54,0.525,0.642,19,-0.15000000000000002,0.4,1
did i miss this one i think i did anyway it looks like when you try to put on lipstick with chapped lips,0.76,0.849,0.604,0.73,0.694,0.761,0.648,23,0.0,0.0,1
that whole month of november where my entire life was toontown nothing else,0.752,0.857,0.677,0.738,0.874,0.681,0.785,13,0.1,0.5125,1
i need to curl in a heavy blanket floating in a river swallowed in the heavy sounds of beyonce s lemonade album,0.983,0.928,0.758,0.943,0.807,0.955,0.825,22,-0.2,0.5,1
wish there were campaigns like this to have shown mum she was not alone,0.606,0.738,0.678,0.652,0.679,0.66,0.551,14,0.0,0.0,1
emptiness emotionlessness not love or sadness nothing but exhaustion and wanting to sleep until i can feel again,0.587,0.693,0.523,0.576,0.389,0.707,0.768,18,-0.25,0.6,1
me writing a senior honours thesis bc if i stop doing work i start thinking again and i spiral,0.819,0.889,0.812,0.688,0.762,0.75,0.619,19,0.0,0.0,1
head swarming with ideas until it overloads and i shut down,0.532,0.694,0.573,0.506,0.57,0.523,0.747,11,-0.15555555555555559,0.2888888888888889,1
